PartitionKey,RowKey,Timestamp,entityid,raisonsociale,type,soustype,numro,typedevoie,voie,codepostal,ville,bureaudistributeur,indicateurcdex,tlphone,longitude,latitude,ligneadresse1,ligneadresse3,mail,adresseweb
0537261821_0000000000,5dd25bcc-6ee3-41f4-82ff-372759206bf1,2017-01-09T07:23:41.0689995Z,fdec9aa7-3c16-4097-9a57-aa7559526703,Bambous en Provence,cdt:JardinEtParc,"Jardin botanique
Jardin botanique",2388,Route,De Graveson,13630,Eyragues,EYRAGUES,non,04 32 62 85 31,4.8207485,43.8465322,,,,
0537261821_0000000001,1c142fec-74a8-4ef1-a87c-6b82dad3f9cc,2017-01-09T07:23:40.9195167Z,c3a220ed-ab78-4503-8d9a-268ca6af871b,Jardins du Domaine de la Violaine,cdt:JardinEtParc,Parc - jardin privé,,,,13770,Venelles,VENELLES,non,04 42 54 70 03,5.49898,43.59508,,,,
0537261821_0000000002,d46a319e-ce76-4641-9e74-88e979e7954f,2017-01-09T07:23:40.9966214Z,2d6c9b2d-83ee-4199-9b70-6936ec84894e,Journée Patrimoine,cdt:JardinEtParc,Jardin botanique,,,,13620,Carry le Rouet,CARRY LE ROUET,non,04 42 13 20 36,5.170804,43.336427,,,,
0537261821_0000000003,5e2f0686-b13f-49a0-904c-5d10fc325597,2017-01-09T07:23:40.0767335Z,f09ab848-01a8-471b-9d1a-0385096fe7cc,Le Jardin Magique d'Aurons,cdt:JardinEtParc,Parc - jardin public,,Avenue,Gaston Cabrier,13121,Aurons,AURONS,non,04 90 55 63 02,5.155622,43.664925,,,,
0537261821_0000000004,6a54678b-81cf-46a1-a21c-b12bd570ac75,2017-01-09T07:23:39.8270202Z,312ab6f1-b654-48bb-8022-d4e69e1f6287,Jardin Antoine Maurel,cdt:JardinEtParc,Parc - jardin public,,Route,D'Aurons,13330,Pélissanne,PELISSANNE,non,04 90 55 11 52,5.154376,43.64194,,,,
0537261821_0000000005,ec6e3bfd-9840-43c6-a105-3f3ee1dc0739,2017-01-09T07:23:40.9040247Z,04bbc1be-40d0-4af0-b913-eba90ee4207d,Jardin des Remparts,cdt:JardinEtParc,Parc - jardin public,,,,13530,Trets,TRETS,non,04 42 61 23 78,5.6823348999023438,43.44706166645264,Boulevard Vauban,,,
0537261821_0000000006,97443087-7d94-4b09-9db7-c97c17a71fd4,2017-01-09T07:23:41.1033697Z,1c625893-a6f1-43de-9926-e6e9e55dd2ef,Espace Benjamin Priaulet,cdt:JardinEtParc,Parc - jardin public,,Avenue,Des écoles,13520,Maussane les Alpilles,MAUSSANE LES ALPILLES,non,04 90 54 33 60,4.8041969999999994,43.721723,,,,
0537261821_0000000007,85a6bfc2-61ab-48d3-96b7-0bb2e0b5cb3e,2017-01-09T07:23:41.0578045Z,fccbda03-62ce-496d-b624-0611dc1f6e87,Parc du Moulin Peyre,cdt:JardinEtParc,Parc - jardin public,,,,13890,Mouriès,MOURIES,non,04 90 47 50 01,4.871352,43.688994,Cours Paul Revoil,,,
0537261821_0000000008,0ace2859-a821-4dd6-a1ff-b98454b92c31,2017-01-09T07:23:41.0274143Z,9f078960-821e-4d87-aaf5-ba30e7dfa134,Jardin de Belsunce,cdt:JardinEtParc,Parc - jardin public,,Avenue,Monseigneur de Belzunce,13260,Cassis,CASSIS,non,04 42 01 66 66,5.535913,43.219443,,,,
0537261821_0000000009,e6ff0266-44e1-4f7a-b36f-d4b65fd35a1c,2017-01-09T07:23:41.054068Z,b2e8e332-5a7b-4ec0-8b26-d44b67a81746,Parc Régis Vidal,cdt:JardinEtParc,Parc - jardin public,,CD,41,13260,Cassis,CASSIS,non,04 42 01 66 66,5.551228,43.2239964,,,,
